,Latitude,Longitude,NTAName
0,40.63958198116512,-73.98094063691532,Borough Park
1,40.64125540480191,-73.99814792436665,Borough Park
2,40.62632325024686,-73.98614267288926,Borough Park
3,40.635453639204535,-73.98673205582926,Borough Park
4,40.63905657942691,-73.98824657945535,Borough Park
5,40.62157176668962,-73.98162980351799,Borough Park
6,40.62695257288065,-73.9985620955722,Borough Park
7,40.63535678464673,-73.99993730930979,Borough Park
8,40.63628738531027,-74.00034657212774,Borough Park
9,40.63278069037063,-73.98769958489608,Borough Park
10,40.770028316503705,-73.81757772223904,Murray Hill
11,40.762350855530656,-73.79437076913051,Murray Hill
12,40.768366138419495,-73.81631813430157,Murray Hill
13,40.77329695740443,-73.80893950981202,Murray Hill
14,40.76463672726606,-73.81325236269294,Murray Hill
15,40.75869445310461,-73.81903347634257,Murray Hill
16,40.77771896651234,-73.81319595056067,Murray Hill
17,40.77759797234543,-73.82086121798176,Murray Hill
18,40.761414963321265,-73.80579162586386,Murray Hill
19,40.77563647003412,-73.82278546743015,Murray Hill
20,40.759420844413256,-73.86692992280658,East Elmhurst
21,40.759233538190486,-73.86698767669738,East Elmhurst
22,40.75882372368788,-73.85896090929869,East Elmhurst
23,40.76344082207395,-73.85815762585455,East Elmhurst
24,40.769754027752946,-73.87171441567432,East Elmhurst
25,40.766294929438224,-73.87506971081827,East Elmhurst
26,40.761806012389414,-73.87117488036651,East Elmhurst
27,40.758301666663854,-73.87231527428449,East Elmhurst
28,40.76324059412207,-73.86417769565784,East Elmhurst
29,40.76321926460097,-73.86839254353944,East Elmhurst
30,40.710560289918995,-73.76265498036095,Hollis
31,40.71347536764441,-73.76407115818934,Hollis
32,40.714060444567004,-73.76943940673203,Hollis
33,40.71439198717927,-73.75489215830574,Hollis
34,40.718548571959914,-73.76247769423128,Hollis
35,40.70862710047207,-73.75477662329916,Hollis
36,40.71702200698225,-73.76554868882641,Hollis
37,40.70960141048555,-73.7584278705421,Hollis
38,40.71130350077075,-73.76330623081355,Hollis
39,40.706780763531505,-73.75880310814973,Hollis
40,40.589455244842966,-73.95940989802138,Homecrest
41,40.59079142677531,-73.96641029627975,Homecrest
42,40.61124926926393,-73.97044626197717,Homecrest
43,40.592217710265516,-73.95746936181251,Homecrest
44,40.608451018625026,-73.96363671805427,Homecrest
45,40.60246732794413,-73.9618381812842,Homecrest
46,40.591036900147444,-73.96048150006882,Homecrest
47,40.60997152649574,-73.97076804502842,Homecrest
48,40.59481701396948,-73.96506637293584,Homecrest
49,40.59343629476309,-73.95981732022098,Homecrest
50,40.73237269930354,-73.78253500289358,Fresh Meadows-Utopia
51,40.735853674286275,-73.7837403644407,Fresh Meadows-Utopia
52,40.73829314329622,-73.77965525069452,Fresh Meadows-Utopia
53,40.7315083847827,-73.78284024133255,Fresh Meadows-Utopia
54,40.731928660302806,-73.78043309680723,Fresh Meadows-Utopia
55,40.729499672161595,-73.78115080286744,Fresh Meadows-Utopia
56,40.73723911315764,-73.78463791015241,Fresh Meadows-Utopia
57,40.73484019731631,-73.77644204105489,Fresh Meadows-Utopia
58,40.73598037955055,-73.78233220499492,Fresh Meadows-Utopia
59,40.72988607542663,-73.78486404099844,Fresh Meadows-Utopia
60,40.70021668884912,-73.75377389382817,St. Albans
61,40.69144455570098,-73.748713891721,St. Albans
62,40.68084614561016,-73.75325063518575,St. Albans
63,40.699676373042074,-73.75437047343627,St. Albans
64,40.695866337081696,-73.74700818426386,St. Albans
65,40.70491285240277,-73.752310638418,St. Albans
66,40.679769559389776,-73.76289496736659,St. Albans
67,40.683755832432496,-73.76109178261008,St. Albans
68,40.681318369063874,-73.76041616624534,St. Albans
69,40.68247901246758,-73.755760166301,St. Albans
70,40.72094467770522,-73.76790751350912,Jamaica Estates-Holliswood
71,40.72586893439945,-73.7667886777256,Jamaica Estates-Holliswood
72,40.726468450970785,-73.78162035742488,Jamaica Estates-Holliswood
73,40.714962145326425,-73.77974248827215,Jamaica Estates-Holliswood
74,40.72910411741727,-73.77325803337628,Jamaica Estates-Holliswood
75,40.7215530834874,-73.78035065206828,Jamaica Estates-Holliswood
76,40.726562353977265,-73.77682304863818,Jamaica Estates-Holliswood
77,40.71379892237561,-73.77894036135332,Jamaica Estates-Holliswood
78,40.714718139951636,-73.79197392790267,Jamaica Estates-Holliswood
79,40.71771779050849,-73.78475925390272,Jamaica Estates-Holliswood
80,40.60352656409815,-73.95454246675389,Madison
81,40.61108700775822,-73.94706631607465,Madison
82,40.60013317180591,-73.95577245335332,Madison
83,40.613493405243624,-73.94204240687739,Madison
84,40.610247246920224,-73.95772536389018,Madison
85,40.60301774380419,-73.94110817824105,Madison
86,40.59815177348684,-73.9511833990566,Madison
87,40.61321436205797,-73.94549287912642,Madison
88,40.60043596917003,-73.93897111713505,Madison
89,40.598266805404826,-73.94883994361892,Madison
90,40.643636782043146,-73.97436322669441,Kensington-Ocean Parkway
91,40.64611974390863,-73.9818673831604,Kensington-Ocean Parkway
92,40.64029400729064,-73.97407750039974,Kensington-Ocean Parkway
93,40.641951355394866,-73.98055753023988,Kensington-Ocean Parkway
94,40.63569728394961,-73.98194572626333,Kensington-Ocean Parkway
95,40.638738459695674,-73.98750061250514,Kensington-Ocean Parkway
96,40.63160719405819,-73.97612294783048,Kensington-Ocean Parkway
97,40.63522087374795,-73.97693101158063,Kensington-Ocean Parkway
98,40.63667053580973,-73.97084665396511,Kensington-Ocean Parkway
99,40.64317053565485,-73.97091373438715,Kensington-Ocean Parkway
100,40.64151641349029,-73.94690193988257,Erasmus
101,40.64560267165926,-73.9578647682682,Erasmus
102,40.64553979263271,-73.94752324047963,Erasmus
103,40.64527797295463,-73.94812203841464,Erasmus
104,40.63947539801767,-73.9489305071024,Erasmus
105,40.644718211055185,-73.95570613353435,Erasmus
106,40.6525249527414,-73.95215177618152,Erasmus
107,40.64861690977833,-73.94983985039093,Erasmus
108,40.6498304787049,-73.95694440351039,Erasmus
109,40.65297079302624,-73.94857533909018,Erasmus
110,40.821778826737116,-73.89659117275676,Longwood
111,40.81642909960746,-73.90220427445156,Longwood
112,40.825224887939626,-73.90170174100201,Longwood
113,40.812395550755824,-73.90419856220011,Longwood
114,40.81515650744777,-73.90051223467513,Longwood
115,40.824655162979944,-73.8982616794246,Longwood
116,40.82675747255806,-73.89642050706131,Longwood
