,name,categories,address,crossStreet,lat,lng,labeledLatLngs,distance,postalCode,cc,city,state,country,formattedAddress,neighborhood,id
0,403 Restaurant,Chinese Restaurant,403 Church Ave,East 4th St,40.63945917816107,-73.97972826097855,"[{'label': 'display', 'lat': 40.63945917816107, 'lng': -73.97972826097855}]",103,11218,US,Brooklyn,NY,United States,"['403 Church Ave (East 4th St)', 'Brooklyn, NY 11218', 'United States']",,4c7c6874247cb60c6f375e5e
1,Radhuni Restaurant,Halal Restaurant,483 McDonald Ave,,40.6423576750875,-73.97920071268095,"[{'label': 'display', 'lat': 40.6423576750875, 'lng': -73.97920071268095}, {'label': 'entrance', 'lat': 40.642382, 'lng': -73.979181}]",342,11218,US,Brooklyn,NY,United States,"['483 McDonald Ave', 'Brooklyn, NY 11218', 'United States']",,56074d7e498ecd0d69d3a282
2,El Morro Restaurant & Bar,Restaurant,3712 13th Ave,,40.641552586418804,-73.98533588314885,"[{'label': 'display', 'lat': 40.641552586418804, 'lng': -73.98533588314885}]",431,11218,US,Brooklyn,NY,United States,"['3712 13th Ave', 'Brooklyn, NY 11218', 'United States']",,4bfff933147bd13a0c7c2a4d
3,Mi Barrio Taqueria Restaurant,Mexican Restaurant,3415 14th Ave,,40.641597999999995,-73.98145799999999,"[{'label': 'display', 'lat': 40.641597999999995, 'lng': -73.98145799999999}, {'label': 'entrance', 'lat': 40.641641, 'lng': -73.981463}]",228,11218,US,Brooklyn,NY,United States,"['3415 14th Ave', 'Brooklyn, NY 11218', 'United States']",,514bbad4e4b068662028db31
4,Ghoroa Sweets and Restaurant,Restaurant,,,40.642388000000004,-73.979681,"[{'label': 'display', 'lat': 40.642388000000004, 'lng': -73.979681}, {'label': 'entrance', 'lat': 40.642404, 'lng': -73.979542}]",329,11218,US,Brooklyn,NY,United States,"['Brooklyn, NY 11218', 'United States']",,4cb72a73e262b60c083a74e0
5,Ambrosia Italian and Albanian Restaurant,Food,90 Church Ave,,40.642364501953125,-73.97987365722656,"[{'label': 'display', 'lat': 40.642364501953125, 'lng': -73.97987365722656}]",322,11218,US,Brooklyn,NY,United States,"['90 Church Ave', 'Brooklyn, NY 11218', 'United States']",,4f324d4719836c91c7ca4a1e
6,Greenhouse Restaurant,Indian Chinese Restaurant,90 Church Ave,,40.642364501953125,-73.97987365722656,"[{'label': 'display', 'lat': 40.642364501953125, 'lng': -73.97987365722656}]",322,11218,US,Brooklyn,NY,United States,"['90 Church Ave', 'Brooklyn, NY 11218', 'United States']",,543052e7498e15b89f88b167
7,Zaffran Party Hall & restaurant,,90 Church Ave,,40.642579503027726,-73.97991237954025,"[{'label': 'display', 'lat': 40.642579503027726, 'lng': -73.97991237954025}]",344,11218,US,Brooklyn,NY,United States,"['90 Church Ave', 'Brooklyn, NY 11218', 'United States']",,4cdf5159df986ea80d92e116
8,Little Bandgladesh Restaurant,Food,483 McDonald Ave,,40.6424,-73.979015,"[{'label': 'display', 'lat': 40.6424, 'lng': -73.979015}]",353,11218,US,Brooklyn,NY,United States,"['483 McDonald Ave', 'Brooklyn, NY 11218', 'United States']",,4f32463019836c91c7c77d1e
9,Jerusalem Restaurant,Middle Eastern Restaurant,4022 14th Ave,,40.638417,-73.985302,"[{'label': 'display', 'lat': 40.638417, 'lng': -73.985302}, {'label': 'entrance', 'lat': 40.638375, 'lng': -73.985233}]",390,11218,US,Brooklyn,NY,United States,"['4022 14th Ave', 'Brooklyn, NY 11218', 'United States']",,4f327baa19836c91c7dc2deb
0,La Strada Pizzeria & Restaurant,Pizza Place,5023 10th Ave,50th St.,40.63787130143007,-73.99984195063007,"[{'label': 'display', 'lat': 40.63787130143007, 'lng': -73.99984195063007}, {'label': 'entrance', 'lat': 40.637913, 'lng': -73.999681}]",402,11219,US,Brooklyn,NY,United States,"['5023 10th Ave (50th St.)', 'Brooklyn, NY 11219', 'United States']",,4a9ac439f964a5208f3220e3
1,Paradise Restaurant,Indian Restaurant,4904 Fort Hamilton Pkwy,,40.638404846191406,-73.99805450439453,"[{'label': 'display', 'lat': 40.638404846191406, 'lng': -73.99805450439453}]",317,11219,US,New York,NY,United States,"['4904 Fort Hamilton Pkwy', 'New York, NY 11219', 'United States']",,582e5ab79dc8d005169837b3
2,New Fulin Kwok Seafood Restaurant,Seafood Restaurant,4619 8th Ave,,40.64282,-74.00153399999999,"[{'label': 'display', 'lat': 40.64282, 'lng': -74.00153399999999}, {'label': 'entrance', 'lat': 40.6429, 'lng': -74.001667}]",334,11220,US,Brooklyn,NY,United States,"['4619 8th Ave', 'Brooklyn, NY 11220', 'United States']",,4b2489eff964a5208b6824e3
3,Theresa's Polish American Restaurant,Food,4503 8th Ave,,40.6437,-74.000801,"[{'label': 'display', 'lat': 40.6437, 'lng': -74.000801}]",352,11220,US,Brooklyn,NY,United States,"['4503 8th Ave', 'Brooklyn, NY 11220', 'United States']",,4f324bd719836c91c7c9ba0c
4,King Chinese Restaurant,Chinese Restaurant,4503 8th Ave,,40.643611,-74.000919,"[{'label': 'display', 'lat': 40.643611, 'lng': -74.000919}]",351,11220,US,Brooklyn,NY,United States,"['4503 8th Ave', 'Brooklyn, NY 11220', 'United States']",,4f3242e419836c91c7c62414
5,Daky Restaurant,Chinese Restaurant,4610 8th Ave,,40.643268,-74.0017,"[{'label': 'display', 'lat': 40.643268, 'lng': -74.0017}, {'label': 'entrance', 'lat': 40.643236, 'lng': -74.00169}]",374,11220,US,Brooklyn,NY,United States,"['4610 8th Ave', 'Brooklyn, NY 11220', 'United States']",,4d0f9fc07177b1f74a814c22
6,Bar Sol De Quito Restaurant II,Restaurant,4417 New Utrecht Ave,,40.64025366424149,-73.99397134780884,"[{'label': 'display', 'lat': 40.64025366424149, 'lng': -73.99397134780884}, {'label': 'entrance', 'lat': 40.640202, 'lng': -73.994175}]",369,11219,US,Brooklyn,NY,United States,"['4417 New Utrecht Ave', 'Brooklyn, NY 11219', 'United States']",,5788e58b498e99df07929b70
7,Liu Liu Seafood Restaurant,Chinese Restaurant,4508 8th Ave,,40.64369583129883,-74.00119018554688,"[{'label': 'display', 'lat': 40.64369583129883, 'lng': -74.00119018554688}]",373,11220,US,Brooklyn,NY,United States,"['4508 8th Ave', 'Brooklyn, NY 11220', 'United States']",,56132187498ed04037f7210d
8,Mei Hao Restaurant,Restaurant,4415 8th Ave,,40.64416,-74.000524,"[{'label': 'display', 'lat': 40.64416, 'lng': -74.000524}]",380,11220,US,Brooklyn,NY,United States,"['4415 8th Ave', 'Brooklyn, NY 11220', 'United States']",,563d4f5ecd107fbf8abd6551
9,Annas Restaurant and Deli,Food,4614 New Utrecht Ave,,40.63886642456055,-73.99463653564453,"[{'label': 'display', 'lat': 40.63886642456055, 'lng': -73.99463653564453}]",398,11219,US,Brooklyn,NY,United States,"['4614 New Utrecht Ave', 'Brooklyn, NY 11219', 'United States']",,4f32882819836c91c7e0f954
0,Dagan Pizza & Dairy Restaurant,Pizza Place,4820 16th Ave,,40.63126305944451,-73.98538657826741,"[{'label': 'display', 'lat': 40.63126305944451, 'lng': -73.98538657826741}, {'label': 'entrance', 'lat': 40.631278, 'lng': -73.985445}]",553,11204,US,Brooklyn,NY,United States,"['4820 16th Ave', 'Brooklyn, NY 11204', 'United States']",,4ce18c63db125481f58642ce
1,Moti's,Pizza Place,5007 16th Ave,,40.63010897068533,-73.98626804351805,"[{'label': 'display', 'lat': 40.63010897068533, 'lng': -73.98626804351805}, {'label': 'entrance', 'lat': 40.630192, 'lng': -73.9862}]",421,11204,US,Brooklyn,NY,United States,"['5007 16th Ave', 'Brooklyn, NY 11204', 'United States']",,5020802b067d4582ed91a908
0,Angela Restaurant,,4012 13th Ave,40th St,40.639794,-73.987486,"[{'label': 'display', 'lat': 40.639794, 'lng': -73.987486}, {'label': 'entrance', 'lat': 40.639807, 'lng': -73.987322}]",487,11218,US,Brooklyn,NY,United States,"['4012 13th Ave (40th St)', 'Brooklyn, NY 11218', 'United States']",,4a8b1208f964a5205d0b20e3
1,El Morro Restaurant & Bar,Restaurant,3712 13th Ave,,40.641552586418804,-73.98533588314885,"[{'label': 'display', 'lat': 40.641552586418804, 'lng': -73.98533588314885}]",689,11218,US,Brooklyn,NY,United States,"['3712 13th Ave', 'Brooklyn, NY 11218', 'United States']",,4bfff933147bd13a0c7c2a4d
2,Masbia Restaurant,American Restaurant,,,40.637919617091356,-73.98566874928272,"[{'label': 'display', 'lat': 40.637919617091356, 'lng': -73.98566874928272}, {'label': 'entrance', 'lat': 40.637949, 'lng': -73.985676}]",288,,US,Brooklyn,NY,United States,"['Brooklyn, NY', 'United States']",,5254952d11d2313bbecf8872
3,Jerusalem Restaurant,Middle Eastern Restaurant,4022 14th Ave,,40.638417,-73.985302,"[{'label': 'display', 'lat': 40.638417, 'lng': -73.985302}, {'label': 'entrance', 'lat': 40.638375, 'lng': -73.985233}]",351,11218,US,Brooklyn,NY,United States,"['4022 14th Ave', 'Brooklyn, NY 11218', 'United States']",,4f327baa19836c91c7dc2deb
4,Dagan Pizza & Dairy Restaurant,Pizza Place,4820 16th Ave,,40.63126305944451,-73.98538657826741,"[{'label': 'display', 'lat': 40.63126305944451, 'lng': -73.98538657826741}, {'label': 'entrance', 'lat': 40.631278, 'lng': -73.985445}]",480,11204,US,Brooklyn,NY,United States,"['4820 16th Ave', 'Brooklyn, NY 11204', 'United States']",,4ce18c63db125481f58642ce
5,Stars Cafe & Restaurant,Café,4303 16th Ave,btwn 43rd & 44th St,40.634082356930826,-73.98211598396301,"[{'label': 'display', 'lat': 40.634082356930826, 'lng': -73.98211598396301}]",418,11204,US,Brooklyn,NY,United States,"['4303 16th Ave (btwn 43rd & 44th St)', 'Brooklyn, NY 11204', 'United States']",,50207263067d4582ed904020
6,Garden 13 Dairy Restaurant and Pizza,Pizza Place,4905 13th Ave,,40.634704,-73.992058,"[{'label': 'display', 'lat': 40.634704, 'lng': -73.992058}]",457,11219,US,Brooklyn,NY,United States,"['4905 13th Ave', 'Brooklyn, NY 11219', 'United States']",,4f3290b219836c91c7e43333
7,Perla Restaurant,Spanish Restaurant,3913 13th Ave,,40.64004267988247,-73.98690264457271,"[{'label': 'display', 'lat': 40.64004267988247, 'lng': -73.98690264457271}]",511,11218,US,Brooklyn,NY,United States,"['3913 13th Ave', 'Brooklyn, NY 11218', 'United States']",,4ec3dad0cc213c5f1f88b6f8
8,Matamin Dairy Restaurant,Food,5001 13th Ave,,40.63422775268555,-73.99253845214844,"[{'label': 'display', 'lat': 40.63422775268555, 'lng': -73.99253845214844}]",509,11219,US,Brooklyn,NY,United States,"['5001 13th Ave', 'Brooklyn, NY 11219', 'United States']",,4f3278fc19836c91c7db2c0b
9,Cafe 47,Restaurant,4709 New Utrecht Ave,Btwn 47th & 48th St,40.637851,-73.994353,"[{'label': 'display', 'lat': 40.637851, 'lng': -73.994353}]",696,11219,US,Brooklyn,NY,United States,"['4709 New Utrecht Ave (Btwn 47th & 48th St)', 'Brooklyn, NY 11219', 'United States']",,4e43fb18315130a66d37fe17
0,Angela Restaurant,,4012 13th Ave,40th St,40.639794,-73.987486,"[{'label': 'display', 'lat': 40.639794, 'lng': -73.987486}, {'label': 'entrance', 'lat': 40.639807, 'lng': -73.987322}]",104,11218,US,Brooklyn,NY,United States,"['4012 13th Ave (40th St)', 'Brooklyn, NY 11218', 'United States']",,4a8b1208f964a5205d0b20e3
1,El Morro Restaurant & Bar,Restaurant,3712 13th Ave,,40.641552586418804,-73.98533588314885,"[{'label': 'display', 'lat': 40.641552586418804, 'lng': -73.98533588314885}]",371,11218,US,Brooklyn,NY,United States,"['3712 13th Ave', 'Brooklyn, NY 11218', 'United States']",,4bfff933147bd13a0c7c2a4d
2,Perla Restaurant,Spanish Restaurant,3913 13th Ave,,40.64004267988247,-73.98690264457271,"[{'label': 'display', 'lat': 40.64004267988247, 'lng': -73.98690264457271}]",157,11218,US,Brooklyn,NY,United States,"['3913 13th Ave', 'Brooklyn, NY 11218', 'United States']",,4ec3dad0cc213c5f1f88b6f8
3,Masbia Restaurant,American Restaurant,,,40.637919617091356,-73.98566874928272,"[{'label': 'display', 'lat': 40.637919617091356, 'lng': -73.98566874928272}, {'label': 'entrance', 'lat': 40.637949, 'lng': -73.985676}]",251,,US,Brooklyn,NY,United States,"['Brooklyn, NY', 'United States']",,5254952d11d2313bbecf8872
4,Jerusalem Restaurant,Middle Eastern Restaurant,4022 14th Ave,,40.638417,-73.985302,"[{'label': 'display', 'lat': 40.638417, 'lng': -73.985302}, {'label': 'entrance', 'lat': 40.638375, 'lng': -73.985233}]",258,11218,US,Brooklyn,NY,United States,"['4022 14th Ave', 'Brooklyn, NY 11218', 'United States']",,4f327baa19836c91c7dc2deb
5,La Asuncion Mexican Restaurant,Mexican Restaurant,3914 Fort Hamilton Pkwy,,40.642988,-73.99115400000001,"[{'label': 'display', 'lat': 40.642988, 'lng': -73.99115400000001}, {'label': 'entrance', 'lat': 40.642947, 'lng': -73.991087}]",501,11218,US,Brooklyn,NY,United States,"['3914 Fort Hamilton Pkwy', 'Brooklyn, NY 11218', 'United States']",,4c4a0d28bad7a593df72d6a9
6,Vi Min Chinese Restaurant,Chinese Restaurant,3821 Fort Hamilton Pkwy,39th Street,40.64313888549805,-73.99005889892578,"[{'label': 'entrance', 'lat': 40.643208, 'lng': -73.990163}, {'label': 'display', 'lat': 40.64313888549805, 'lng': -73.99005889892578}]",479,11218,US,Brooklyn,NY,United States,"['3821 Fort Hamilton Pkwy (39th Street)', 'Brooklyn, NY 11218', 'United States']",,4bf808a75317a5935202ff7e
7,Bar Sol De Quito Restaurant II,Restaurant,4417 New Utrecht Ave,,40.64025366424149,-73.99397134780884,"[{'label': 'display', 'lat': 40.64025366424149, 'lng': -73.99397134780884}, {'label': 'entrance', 'lat': 40.640202, 'lng': -73.994175}]",501,11219,US,Brooklyn,NY,United States,"['4417 New Utrecht Ave', 'Brooklyn, NY 11219', 'United States']",,5788e58b498e99df07929b70
8,All Refrigeration 'N Restaurant Equipment,Food,4627 New Utrecht Ave,,40.638524,-73.994439,"[{'label': 'display', 'lat': 40.638524, 'lng': -73.994439}, {'label': 'entrance', 'lat': 40.638355, 'lng': -73.994372}]",526,11219,US,Brooklyn,NY,United States,"['4627 New Utrecht Ave', 'Brooklyn, NY 11219', 'United States']",,4f32119c19833175d60d69e5
9,Annas Restaurant and Deli,Food,4614 New Utrecht Ave,,40.63886642456055,-73.99463653564453,"[{'label': 'display', 'lat': 40.63886642456055, 'lng': -73.99463653564453}]",540,11219,US,Brooklyn,NY,United States,"['4614 New Utrecht Ave', 'Brooklyn, NY 11219', 'United States']",,4f32882819836c91c7e0f954
0,Ocean Port Restaurant,Chinese Restaurant,6202 18th Ave,,40.62089538574219,-73.98875427246094,"[{'label': 'entrance', 'lat': 40.620828, 'lng': -73.988638}, {'label': 'display', 'lat': 40.62089538574219, 'lng': -73.98875427246094}]",606,11204,US,Brooklyn,NY,United States,"['6202 18th Ave', 'Brooklyn, NY 11204', 'United States']",,4db9bfed432d6a71bf57e161
1,Rui Chen Restaurant,Food,6103 20th Ave,,40.618789,-73.983501,"[{'label': 'display', 'lat': 40.618789, 'lng': -73.983501}]",347,11204,US,Brooklyn,NY,United States,"['6103 20th Ave', 'Brooklyn, NY 11204', 'United States']",,4f3247cc19836c91c7c824ee
2,Finest Ever Luck Restaurant,Chinese Restaurant,6103 20th Ave,61st Street,40.61852264404297,-73.9833755493164,"[{'label': 'entrance', 'lat': 40.618602, 'lng': -73.983504}, {'label': 'display', 'lat': 40.61852264404297, 'lng': -73.9833755493164}]",370,11204,US,Brooklyn,NY,United States,"['6103 20th Ave (61st Street)', 'Brooklyn, NY 11204', 'United States']",,503823d8e4b03509a9433cf4
3,Happy Family Restaurant,Asian Restaurant,,,40.619722780130985,-73.98632300172633,"[{'label': 'display', 'lat': 40.619722780130985, 'lng': -73.98632300172633}]",446,11204,US,Brooklyn,NY,United States,"['Brooklyn, NY 11204', 'United States']",,4ec930a061af9e1431c28a8d
4,Danza's Italian Restaurant,Italian Restaurant,6205 18th Ave,,40.62054443359375,-73.98834228515625,"[{'label': 'display', 'lat': 40.62054443359375, 'lng': -73.98834228515625}]",578,11204,US,Brooklyn,NY,United States,"['6205 18th Ave', 'Brooklyn, NY 11204', 'United States']",,4e4cdeb1bd413c4cc66cd44f
5,Very Tong Seafood Restaurant,,Cristofordo Columbo Boulevard,62nd Street,40.621034,-73.98861,"[{'label': 'display', 'lat': 40.621034, 'lng': -73.98861}]",592,,US,Brooklyn,NY,United States,"['Cristofordo Columbo Boulevard (62nd Street)', 'Brooklyn, NY', 'United States']",,4c9d3bd6542b224ba62ce89f
6,Silver Star Restaurant,Chinese Restaurant,6221 18th Ave,,40.620417089958046,-73.98882794517985,"[{'label': 'display', 'lat': 40.620417089958046, 'lng': -73.98882794517985}, {'label': 'entrance', 'lat': 40.620365, 'lng': -73.988743}]",621,11204,US,Brooklyn,NY,United States,"['6221 18th Ave', 'Brooklyn, NY 11204', 'United States']",,4aece020f964a520f7cb21e3
7,Friend's Villa Restaurant,Chinese Restaurant,6210 18th Ave,,40.62089009350265,-73.988683131407,"[{'label': 'display', 'lat': 40.62089009350265, 'lng': -73.988683131407}, {'label': 'entrance', 'lat': 40.620687, 'lng': -73.988783}]",600,11204,US,Brooklyn,NY,United States,"['6210 18th Ave', 'Brooklyn, NY 11204', 'United States']",,4dc487f018387d1bd5263f7e
8,Good Day Seafood Restaurant,Chinese Restaurant,,62nd st and 18th ave,40.62083433011701,-73.98868475501934,"[{'label': 'display', 'lat': 40.62083433011701, 'lng': -73.98868475501934}]",601,11204,US,Brooklyn,NY,United States,"['62nd st and 18th ave', 'Brooklyn, NY 11204', 'United States']",,4fa01b38e4b07d344023a592
0,Kerekes Bakery And Restaurant Equipment,Miscellaneous Shop,6103 15th Ave,,40.625205,-73.994734,"[{'label': 'display', 'lat': 40.625205, 'lng': -73.994734}, {'label': 'entrance', 'lat': 40.625276, 'lng': -73.994902}]",377,11219,US,Brooklyn,NY,United States,"['6103 15th Ave', 'Brooklyn, NY 11219', 'United States']",,4e91e0fdf5b9f8967d38a54a
1,Wing xin chinese restaurant,Chinese Restaurant,6001 14th Ave,,40.627223,-73.996378,"[{'label': 'display', 'lat': 40.627223, 'lng': -73.996378}, {'label': 'entrance', 'lat': 40.627311, 'lng': -73.996378}]",186,11219,US,Brooklyn,NY,United States,"['6001 14th Ave', 'Brooklyn, NY 11219', 'United States']",,4c530856f5f3d13a9640d2f7
2,Wing Syn Restaurant,Food,6001 14th Ave,,40.62722396850586,-73.99637603759766,"[{'label': 'display', 'lat': 40.62722396850586, 'lng': -73.99637603759766}]",187,11219,US,Brooklyn,NY,United States,"['6001 14th Ave', 'Brooklyn, NY 11219', 'United States']",,4f32244519836c91c7ba3c5b
3,Famous Pollio Restaurant,Food,5804 New Utrecht Ave,,40.629160999999996,-73.99645500000001,"[{'label': 'display', 'lat': 40.629160999999996, 'lng': -73.99645500000001}, {'label': 'entrance', 'lat': 40.629133, 'lng': -73.99628}]",303,11219,US,Brooklyn,NY,United States,"['5804 New Utrecht Ave', 'Brooklyn, NY 11219', 'United States']",,4f32718919836c91c7d859bb
4,Tadjakastan Restaurant,Food,5610 New Utrecht Ave,,40.630608,-73.995948,"[{'label': 'display', 'lat': 40.630608, 'lng': -73.995948}, {'label': 'entrance', 'lat': 40.630562, 'lng': -73.995872}]",462,11219,US,Brooklyn,NY,United States,"['5610 New Utrecht Ave', 'Brooklyn, NY 11219', 'United States']",,4f32a55019836c91c7ebf8d0
5,Millers Restaurant,Food,5602 New Utrecht Ave,,40.630783,-73.99588299999999,"[{'label': 'display', 'lat': 40.630783, 'lng': -73.99588299999999}, {'label': 'entrance', 'lat': 40.630741, 'lng': -73.995813}]",482,11219,US,Brooklyn,NY,United States,"['5602 New Utrecht Ave', 'Brooklyn, NY 11219', 'United States']",,4f32570719836c91c7ce1551
6,Polskie Noce Polish Restaurant,Eastern European Restaurant,Between 39th and 40th street on 13th Avenue,,40.62212,-73.99844,"[{'label': 'display', 'lat': 40.62212, 'lng': -73.99844}]",538,,US,Brooklyn,NY,United States,"['Between 39th and 40th street on 13th Avenue', 'Brooklyn, NY', 'United States']",,4c7969d8bd346dcb7c5df5ef
7,Star,Mexican Restaurant,6012 New Utrecht Ave,,40.627404,-73.996912,"[{'label': 'display', 'lat': 40.627404, 'lng': -73.996912}, {'label': 'entrance', 'lat': 40.627332, 'lng': -73.996794}]",148,11219,US,Brooklyn,NY,United States,"['6012 New Utrecht Ave', 'Brooklyn, NY 11219', 'United States']",,4e4dce7fbd41b76bef93688a
8,Mario's Pizza,Pizza Place,6424 14th Ave,At 65th St,40.624693349722975,-73.99931762476167,"[{'label': 'display', 'lat': 40.624693349722975, 'lng': -73.99931762476167}, {'label': 'entrance', 'lat': 40.624855, 'lng': -73.99929}]",259,11219,US,Brooklyn,NY,United States,"['6424 14th Ave (At 65th St)', 'Brooklyn, NY 11219', 'United States']",,4b98257ff964a5208b2f35e3
9,Rex Manor,Event Space,1100 60th St,at 11th Ave,40.63125242821152,-74.00324594339,"[{'label': 'display', 'lat': 40.63125242821152, 'lng': -74.00324594339}]",621,11219,US,Brooklyn,NY,United States,"['1100 60th St (at 11th Ave)', 'Brooklyn, NY 11219', 'United States']",,4b2043b6f964a5209b2f24e3
0,Progreso Restaurant,Latin American Restaurant,5303 Fort Hamilton Pkwy,at 53rd St,40.63634258216429,-74.00053809384764,"[{'label': 'display', 'lat': 40.63634258216429, 'lng': -74.00053809384764}, {'label': 'entrance', 'lat': 40.636259, 'lng': -74.000539}]",120,11219,US,Brooklyn,NY,United States,"['5303 Fort Hamilton Pkwy (at 53rd St)', 'Brooklyn, NY 11219', 'United States']",,4ffe354be4b0bd73f8fe126b
1,Lucky 1 Chinese Restaurant,Chinese Restaurant,,,40.63655922179823,-74.00048644624879,"[{'label': 'display', 'lat': 40.63655922179823, 'lng': -74.00048644624879}]",141,11220,US,Brooklyn,NY,United States,"['Brooklyn, NY 11220', 'United States']",,4cb4e96c589f236a787b2c3d
2,La Strada Pizzeria & Restaurant,Pizza Place,5023 10th Ave,50th St.,40.63787130143007,-73.99984195063007,"[{'label': 'display', 'lat': 40.63787130143007, 'lng': -73.99984195063007}, {'label': 'entrance', 'lat': 40.637913, 'lng': -73.999681}]",280,11219,US,Brooklyn,NY,United States,"['5023 10th Ave (50th St.)', 'Brooklyn, NY 11219', 'United States']",,4a9ac439f964a5208f3220e3
3,Paradise Restaurant,Indian Restaurant,4904 Fort Hamilton Pkwy,,40.638404846191406,-73.99805450439453,"[{'label': 'display', 'lat': 40.638404846191406, 'lng': -73.99805450439453}]",374,11219,US,New York,NY,United States,"['4904 Fort Hamilton Pkwy', 'New York, NY 11219', 'United States']",,582e5ab79dc8d005169837b3
4,Chicano's Mexican Restaurant,Mexican Restaurant,4718 New Utrecht Ave,,40.637916564941406,-73.9948501586914,"[{'label': 'display', 'lat': 40.637916564941406, 'lng': -73.9948501586914}]",515,11219,US,Brooklyn,NY,United States,"['4718 New Utrecht Ave', 'Brooklyn, NY 11219', 'United States']",,57cbc3d7498eeafce6ce9ee3
5,Smaksosz Restaurant,Food,4718 New Utrecht Ave,,40.637912,-73.994813,"[{'label': 'display', 'lat': 40.637912, 'lng': -73.994813}, {'label': 'entrance', 'lat': 40.637893, 'lng': -73.994714}]",517,11219,US,Brooklyn,NY,United States,"['4718 New Utrecht Ave', 'Brooklyn, NY 11219', 'United States']",,4f325e8e19836c91c7d1093c
6,A-HO RESTAURANT,Sushi Restaurant,6005 Fort Hamilton Pkwy,60th st,40.632774353027344,-74.00557708740234,"[{'label': 'display', 'lat': 40.632774353027344, 'lng': -74.00557708740234}]",556,11219,US,Brooklyn,NY,United States,"['6005 Fort Hamilton Pkwy (60th st)', 'Brooklyn, NY 11219', 'United States']",,4ce75508e888f04d3fc23b6b
7,Fu Man Lou Restaurant,Chinese Restaurant,5405 8th Ave,,40.63856076606117,-74.00628810605693,"[{'label': 'display', 'lat': 40.63856076606117, 'lng': -74.00628810605693}, {'label': 'entrance', 'lat': 40.638633, 'lng': -74.006106}]",644,11220,US,Brooklyn,NY,United States,"['5405 8th Ave', 'Brooklyn, NY 11220', 'United States']",,4f09f06ee4b033211b36e4c2
8,C&L Of East Ocean Restaurant,Asian Restaurant,5304 8th Ave,,40.63943,-74.00579599999999,"[{'label': 'display', 'lat': 40.63943, 'lng': -74.00579599999999}, {'label': 'entrance', 'lat': 40.639378, 'lng': -74.005711}]",671,11220,US,Brooklyn,NY,United States,"['5304 8th Ave', 'Brooklyn, NY 11220', 'United States']",,4ce79ff7e1eeb60c40389eae
9,"Golden Forest Chinese Restaurant, Brooklyn Ny",Asian Restaurant,4915 8th Ave,,40.641624450683594,-74.00355529785156,"[{'label': 'display', 'lat': 40.641624450683594, 'lng': -74.00355529785156}]",761,11220,US,Brooklyn,NY,United States,"['4915 8th Ave', 'Brooklyn, NY 11220', 'United States']",,4df6c3f1e4cd50071441f187
0,Progreso Restaurant,Latin American Restaurant,5303 Fort Hamilton Pkwy,at 53rd St,40.63634258216429,-74.00053809384764,"[{'label': 'display', 'lat': 40.63634258216429, 'lng': -74.00053809384764}, {'label': 'entrance', 'lat': 40.636259, 'lng': -74.000539}]",17,11219,US,Brooklyn,NY,United States,"['5303 Fort Hamilton Pkwy (at 53rd St)', 'Brooklyn, NY 11219', 'United States']",,4ffe354be4b0bd73f8fe126b
1,Lucky 1 Chinese Restaurant,Chinese Restaurant,,,40.63655922179823,-74.00048644624879,"[{'label': 'display', 'lat': 40.63655922179823, 'lng': -74.00048644624879}]",32,11220,US,Brooklyn,NY,United States,"['Brooklyn, NY 11220', 'United States']",,4cb4e96c589f236a787b2c3d
2,La Strada Pizzeria & Restaurant,Pizza Place,5023 10th Ave,50th St.,40.63787130143007,-73.99984195063007,"[{'label': 'display', 'lat': 40.63787130143007, 'lng': -73.99984195063007}, {'label': 'entrance', 'lat': 40.637913, 'lng': -73.999681}]",181,11219,US,Brooklyn,NY,United States,"['5023 10th Ave (50th St.)', 'Brooklyn, NY 11219', 'United States']",,4a9ac439f964a5208f3220e3
3,Paradise Restaurant,Indian Restaurant,4904 Fort Hamilton Pkwy,,40.638404846191406,-73.99805450439453,"[{'label': 'display', 'lat': 40.638404846191406, 'lng': -73.99805450439453}]",305,11219,US,New York,NY,United States,"['4904 Fort Hamilton Pkwy', 'New York, NY 11219', 'United States']",,582e5ab79dc8d005169837b3
4,Chicano's Mexican Restaurant,Mexican Restaurant,4718 New Utrecht Ave,,40.637916564941406,-73.9948501586914,"[{'label': 'display', 'lat': 40.637916564941406, 'lng': -73.9948501586914}]",498,11219,US,Brooklyn,NY,United States,"['4718 New Utrecht Ave', 'Brooklyn, NY 11219', 'United States']",,57cbc3d7498eeafce6ce9ee3
5,Smaksosz Restaurant,Food,4718 New Utrecht Ave,,40.637912,-73.994813,"[{'label': 'display', 'lat': 40.637912, 'lng': -73.994813}, {'label': 'entrance', 'lat': 40.637893, 'lng': -73.994714}]",501,11219,US,Brooklyn,NY,United States,"['4718 New Utrecht Ave', 'Brooklyn, NY 11219', 'United States']",,4f325e8e19836c91c7d1093c
6,Fu Man Lou Restaurant,Chinese Restaurant,5405 8th Ave,,40.63856076606117,-74.00628810605693,"[{'label': 'display', 'lat': 40.63856076606117, 'lng': -74.00628810605693}, {'label': 'entrance', 'lat': 40.638633, 'lng': -74.006106}]",562,11220,US,Brooklyn,NY,United States,"['5405 8th Ave', 'Brooklyn, NY 11220', 'United States']",,4f09f06ee4b033211b36e4c2
